city,state,country,monetary,frequency,donation_start_date,last_donation_date,mean_amount,med_amount,max_amount,min_amount,recency,is_recurring,donor_id
Coahoma,TX,US,1400.0,14,2024-10-12 14:21:52,2025-11-12 19:12:12,100.0,100.0,100.0,100.0,28,True,D0
Tucson,AZ,US,3106.0,30,2022-03-18 23:40:00,2025-01-16 13:12:46,103.53333333333332,100.0,206.0,100.0,329,True,D1
Tucson,AZ,US,3900.0,39,2022-09-15 20:03:44,2025-11-15 19:21:24,100.0,100.0,100.0,100.0,25,True,D2
Coppell,TX,US,2878.0,26,2022-05-14 04:48:00,2024-10-01 15:22:45,110.6923076923077,103.0,206.0,103.0,435,True,D3
Sahuarita,AZ,US,865.2,21,2022-10-16 17:49:36,2024-06-16 15:01:18,41.2,41.2,41.2,41.2,542,True,D4
Sahuarita,AZ,US,370.8,18,2022-10-06 17:46:55,2024-03-06 17:45:58,20.6,20.6,20.6,20.6,644,True,D5
Vail,AZ,US,4500.0,41,2022-03-22 19:18:00,2025-11-24 19:14:27,109.7560975609756,100.0,500.0,100.0,16,True,D6
Tempe,AZ,US,2000.0,20,2024-05-01 21:00:11,2025-12-01 19:25:46,100.0,100.0,100.0,100.0,9,True,D7
Tucson,AZ,US,50.0,1,2022-09-15 03:15:17,2022-09-15 03:15:17,50.0,50.0,50.0,50.0,1183,False,D8
Tucson,AZ,US,103.0,1,2022-05-14 05:15:00,2022-05-14 05:15:00,103.0,103.0,103.0,103.0,1307,False,D9
Bangs,TX,US,1400.0,14,2024-11-01 15:25:40,2025-12-01 19:24:42,100.0,100.0,100.0,100.0,9,True,D10
El Paso,TX,US,2163.0,14,2024-10-15 14:56:28,2025-11-15 19:21:25,154.5,154.5,154.5,154.5,25,True,D11
Boulder,CO,US,1957.0,38,2022-10-16 17:49:35,2025-11-16 19:19:16,51.5,51.5,51.5,51.5,24,True,D12
Austin,TX,US,3000.0,1,2025-08-30 19:17:11,2025-08-30 19:17:11,3000.0,3000.0,3000.0,3000.0,102,False,D13
Spokane,WA,US,103.0,1,2022-09-15 21:54:07,2022-09-15 21:54:07,103.0,103.0,103.0,103.0,1182,False,D14
Scottsdale,AZ,US,750.0,15,2022-09-27 17:40:39,2023-11-27 17:43:33,50.0,50.0,50.0,50.0,744,True,D15
